osm_subject,amenity,ar,en,fr
https://www.openstreetmap.org/node/4304451393,waste_baske,,,
https://www.openstreetmap.org/node/4304451394,waste_baske,,,
https://www.openstreetmap.org/node/4304451395,waste_baske,,,
https://www.openstreetmap.org/node/4304451396,waste_baske,,,
https://www.openstreetmap.org/node/4304451397,waste_baske,,,
https://www.openstreetmap.org/node/4317904292,waste_baske,,,
https://www.openstreetmap.org/node/4317904293,waste_baske,,,
https://www.openstreetmap.org/node/4317904294,waste_baske,,,
https://www.openstreetmap.org/node/4317904295,waste_baske,,,
https://www.openstreetmap.org/node/4317904296,waste_baske,,,
https://www.openstreetmap.org/node/6036134486,cafe,,,
https://www.openstreetmap.org/node/4304496690,waste_baske,,,
https://www.openstreetmap.org/node/4304496691,waste_baske,,,
https://www.openstreetmap.org/node/6320820686,pharmacy,,,
https://www.openstreetmap.org/node/4304499189,waste_baske,,,
https://www.openstreetmap.org/node/4304499289,waste_baske,,,
https://www.openstreetmap.org/node/4304499389,waste_baske,,,
https://www.openstreetmap.org/node/4304499390,waste_baske,,,
https://www.openstreetmap.org/node/4304499391,waste_baske,,,
https://www.openstreetmap.org/node/4317910590,waste_baske,,,
https://www.openstreetmap.org/node/4874483821,car_rental,,Abu Olba Co. for Transport & Tourism,
https://www.openstreetmap.org/node/5358624421,post_office,,Mersal POST,
https://www.openstreetmap.org/node/6320823387,restaurant,,,
https://www.openstreetmap.org/node/6320823489,kindergarten,,,
https://www.openstreetmap.org/node/4317927689,waste_baske,,,
https://www.openstreetmap.org/node/4317927690,waste_baske,,,
https://www.openstreetmap.org/node/4230226699,community_centre,,,
https://www.openstreetmap.org/node/4594492389,pub,مفترق الامن العام,,
https://www.openstreetmap.org/node/4346643689,pharmacy,,,
https://www.openstreetmap.org/node/5325914921,pharmacy,,,
https://www.openstreetmap.org/node/4550908693,restaurant,مطعم القدس العتيقة,Alquds al3atiq,
https://www.openstreetmap.org/node/4798132921,restaurant,UNRWA RESTAURANT,UNRWA RESTAURAN,
https://www.openstreetmap.org/node/4729217994,hospital,مستشفى الوفاء للتأهيل الطبي والجراحة التخصصية,El Wafa Medical Rehab and specialized Surgery Hospital,
https://www.openstreetmap.org/node/5008572421,restaurant,توب 5,Top 5,
https://www.openstreetmap.org/node/5008572621,restaurant,مشاوي البابا,Albaba resturant,
