"id","lat","long"
"http://sws.geonames.org/281273/","32.05","35.36667"
"http://sws.geonames.org/281274/","31.47799","34.93484"
"http://sws.geonames.org/281275/","32.15","35.4"
"http://sws.geonames.org/281276/","31.5828","35.18207"
"http://sws.geonames.org/281277/","31.5861","35.18077"
"http://sws.geonames.org/281278/","31.5843","35.0919"
"http://sws.geonames.org/281279/","32.3208","35.18159"
"http://sws.geonames.org/281280/","31.76667","35.45"
"http://sws.geonames.org/281282/","32.19223","34.99803"
"http://sws.geonames.org/281283/","32.32673","35.14518"
"http://sws.geonames.org/281284/","32.27614","35.41382"
"http://sws.geonames.org/281285/","32.06667","35.05"
"http://sws.geonames.org/281286/","32.16667","35.23333"
"http://sws.geonames.org/281287/","31.95","35.41667"
"http://sws.geonames.org/281290/","32.21539","35.01617"
"http://sws.geonames.org/281291/","31.43333","35.08333"
"http://sws.geonames.org/281292/","31.4459","35.09443"
"http://sws.geonames.org/281293/","32.10889","35.26909"
"http://sws.geonames.org/281294/","32.1202","35.21237"
"http://sws.geonames.org/281295/","32.10841","35.23784"
"http://sws.geonames.org/281296/","32.18383","35.22626"
"http://sws.geonames.org/281297/","32.29688","35.27757"
"http://sws.geonames.org/281298/","32.30942","35.45862"
"http://sws.geonames.org/281299/","32.30803","35.43528"
"http://sws.geonames.org/281300/","32.25017","35.10149"
"http://sws.geonames.org/281301/","32.14101","35.07281"
"http://sws.geonames.org/281302/","32.20952","35.28518"
"http://sws.geonames.org/281303/","32.15","35.11667"
"http://sws.geonames.org/281304/","32.16679","35.27317"
"http://sws.geonames.org/281305/","32.15798","35.36133"
"http://sws.geonames.org/281306/","32.15876","35.35974"
"http://sws.geonames.org/281307/","32.1454","35.35535"
"http://sws.geonames.org/281308/","32.18324","35.21983"
"http://sws.geonames.org/281309/","32.07585","35.13003"
"http://sws.geonames.org/281310/","31.75","35.18333"
"http://sws.geonames.org/281311/","31.84087","35.02262"
"http://sws.geonames.org/281312/","31.59377","35.03639"
"http://sws.geonames.org/281313/","31.73333","35.13333"
"http://sws.geonames.org/281314/","32.28333","35.3"
"http://sws.geonames.org/281315/","32.47755","35.11238"
"http://sws.geonames.org/281316/","32.05","35.46667"
"http://sws.geonames.org/281317/","31.9733","35.24516"
"http://sws.geonames.org/281318/","32.44566","35.16822"
"http://sws.geonames.org/281319/","32.25","35.03333"
"http://sws.geonames.org/281320/","32.05333","35.19161"
"http://sws.geonames.org/281321/","31.78011","35.37791"
"http://sws.geonames.org/281322/","31.91655","35.36995"
"http://sws.geonames.org/281323/","31.91625","35.37039"
"http://sws.geonames.org/281324/","32.32599","35.498"
"http://sws.geonames.org/281325/","31.8","35.35"
"http://sws.geonames.org/281326/","32.46126","35.4145"
"http://sws.geonames.org/281327/","32.31194","35.24083"
"http://sws.geonames.org/281328/","31.36903","35.00591"
"http://sws.geonames.org/281329/","31.81667","35.43333"
"http://sws.geonames.org/281330/","32.08247","35.30384"
"http://sws.geonames.org/281331/","31.66278","35.07185"
"http://sws.geonames.org/281332/","31.85","35.28333"
"http://sws.geonames.org/281333/","32.35122","35.09595"
"http://sws.geonames.org/281334/","32.00093","35.34186"
"http://sws.geonames.org/281335/","31.61781","35.02596"
"http://sws.geonames.org/281336/","32.28944","35.17111"
"http://sws.geonames.org/281337/","32.25","35.3"
"http://sws.geonames.org/281338/","32.24482","35.34741"
"http://sws.geonames.org/281339/","32.30183","35.10001"
"http://sws.geonames.org/281340/","31.64947","35.25433"
"http://sws.geonames.org/281341/","31.66845","35.27643"
"http://sws.geonames.org/281342/","32.11491","35.19749"
"http://sws.geonames.org/281343/","31.8863","35.23096"
"http://sws.geonames.org/281345/","32.15428","35.33148"
"http://sws.geonames.org/281346/","31.38333","34.88333"
"http://sws.geonames.org/281347/","31.4","34.88333"
"http://sws.geonames.org/281348/","32.05","35.35"
"http://sws.geonames.org/281349/","31.68303","35.13377"
"http://sws.geonames.org/281350/","31.52092","35.02649"
"http://sws.geonames.org/281351/","32.45868","35.08284"
"http://sws.geonames.org/281352/","31.37815","35.10654"
"http://sws.geonames.org/281353/","31.61415","35.01086"
"http://sws.geonames.org/281354/","32.46675","35.24903"
"http://sws.geonames.org/281355/","31.50361","35.00069"
"http://sws.geonames.org/281356/","31.70701","35.10366"
"http://sws.geonames.org/281357/","31.64578","35.02266"
"http://sws.geonames.org/281358/","31.48328","34.98362"
"http://sws.geonames.org/281359/","31.92162","35.26099"
"http://sws.geonames.org/281360/","32.06425","35.26376"
"http://sws.geonames.org/281361/","32.26667","35.3"
"http://sws.geonames.org/281362/","31.99585","35.14072"
"http://sws.geonames.org/281363/","31.95966","35.17225"
"http://sws.geonames.org/281364/","31.65625","35.15407"
"http://sws.geonames.org/281365/","32.13333","35.38333"
"http://sws.geonames.org/281366/","31.60385","35.13667"
"http://sws.geonames.org/281367/","31.92736","35.15886"
"http://sws.geonames.org/281368/","31.88333","35.25"
"http://sws.geonames.org/281369/","32.30972","35.25194"
"http://sws.geonames.org/281370/","31.93722","35.09543"
"http://sws.geonames.org/281372/","31.50148","35.03655"
"http://sws.geonames.org/281373/","32.3","35.26667"
"http://sws.geonames.org/281374/","32.15044","35.20767"
"http://sws.geonames.org/281375/","31.45772","35.15235"
"http://sws.geonames.org/281376/","32.17853","35.31518"
"http://sws.geonames.org/281377/","31.43018","35.08208"
"http://sws.geonames.org/281378/","31.85","35.18333"
"http://sws.geonames.org/281379/","32.10058","34.99237"
"http://sws.geonames.org/281380/","31.77171","35.3311"
"http://sws.geonames.org/281381/","31.71947","35.2906"
"http://sws.geonames.org/281382/","31.96063","35.09044"
"http://sws.geonames.org/281383/","31.6","35.03333"
"http://sws.geonames.org/281384/","31.56512","35.2074"
"http://sws.geonames.org/281385/","31.69834","35.20351"
"http://sws.geonames.org/281386/","31.88333","35.21667"
"http://sws.geonames.org/281387/","31.87517","35.12511"
"http://sws.geonames.org/281389/","32.22188","35.02019"
"http://sws.geonames.org/281390/","32.17281","35.22075"
"http://sws.geonames.org/281391/","31.8914","35.1244"
"http://sws.geonames.org/281392/","31.43987","35.02843"
"http://sws.geonames.org/281393/","31.89145","35.48353"
"http://sws.geonames.org/281394/","31.89443","35.45672"
"http://sws.geonames.org/281395/","32.251","35.10063"
"http://sws.geonames.org/281396/","32.18333","35.38333"
"http://sws.geonames.org/281397/","32.2195","35.28491"
"http://sws.geonames.org/281398/","31.91763","35.15539"
"http://sws.geonames.org/281399/","32.18376","35.21499"
"http://sws.geonames.org/281400/","31.38579","34.92675"
"http://sws.geonames.org/281401/","31.36563","35.10245"
"http://sws.geonames.org/281402/","32.18333","35.38333"
"http://sws.geonames.org/281403/","32.11195","35.36892"
"http://sws.geonames.org/281404/","31.4713","34.9945"
"http://sws.geonames.org/281405/","32.14708","35.32132"
"http://sws.geonames.org/281406/","32.14768","35.32341"
"http://sws.geonames.org/281407/","32.18173","35.00822"
"http://sws.geonames.org/281408/","32.15949","35.22228"
"http://sws.geonames.org/281409/","32.20184","35.29387"
"http://sws.geonames.org/281410/","32.23333","35.28333"
"http://sws.geonames.org/281411/","32.22646","35.15281"
"http://sws.geonames.org/281412/","32.23853","35.11456"
"http://sws.geonames.org/281413/","31.92462","35.15138"
"http://sws.geonames.org/281414/","31.57574","35.19353"
"http://sws.geonames.org/281415/","32.41667","35.15"
"http://sws.geonames.org/281416/","31.51667","35.06667"
"http://sws.geonames.org/281417/","31.85268","35.15131"
"http://sws.geonames.org/281418/","31.64642","35.23596"
"http://sws.geonames.org/281419/","31.51667","35.18333"
"http://sws.geonames.org/281420/","31.82134","35.22119"
"http://sws.geonames.org/281421/","32.27071","35.51239"
"http://sws.geonames.org/281422/","31.7","35.1"
"http://sws.geonames.org/281423/","31.42411","35.17613"
"http://sws.geonames.org/281424/","31.48627","35.13106"
"http://sws.geonames.org/281425/","32.47782","35.19356"
"http://sws.geonames.org/281426/","32.05027","35.37813"
"http://sws.geonames.org/281427/","32.32581","35.44695"
"http://sws.geonames.org/281428/","31.96211","35.11921"
"http://sws.geonames.org/281429/","31.96667","35.13333"
"http://sws.geonames.org/281430/","32.08623","35.12996"
"http://sws.geonames.org/281431/","31.98333","35.13333"
"http://sws.geonames.org/281432/","31.59146","35.1081"
"http://sws.geonames.org/281433/","31.57498","35.09546"
"http://sws.geonames.org/281434/","31.91341","35.43046"
"http://sws.geonames.org/281435/","31.84863","35.40579"
"http://sws.geonames.org/281437/","31.6761","35.33849"
"http://sws.geonames.org/281438/","31.6818","35.33876"
"http://sws.geonames.org/281439/","32.00827","35.13958"
"http://sws.geonames.org/281440/","32.07533","35.42591"
"http://sws.geonames.org/281441/","32.00889","35.16461"
"http://sws.geonames.org/281442/","31.46569","35.26245"
"http://sws.geonames.org/281443/","31.46436","35.15587"
"http://sws.geonames.org/281444/","32.09599","35.48889"
"http://sws.geonames.org/281445/","31.78877","35.40181"
"http://sws.geonames.org/281446/","32.09303","35.48772"
"http://sws.geonames.org/281447/","31.98333","35.15"
"http://sws.geonames.org/281448/","32.46625","35.35809"
"http://sws.geonames.org/281449/","31.6943","35.24429"
"http://sws.geonames.org/281450/","31.72426","35.32226"
"http://sws.geonames.org/281451/","31.73642","35.23741"
"http://sws.geonames.org/281452/","31.74068","35.24302"
"http://sws.geonames.org/281454/","31.43338","35.18779"
"http://sws.geonames.org/281455/","31.43333","35.18333"
"http://sws.geonames.org/281456/","32.32355","35.52039"
"http://sws.geonames.org/281457/","32.29914","35.55385"
"http://sws.geonames.org/281458/","32.16805","35.51625"
"http://sws.geonames.org/281459/","31.54057","35.17996"
"http://sws.geonames.org/281460/","31.46597","35.28504"
"http://sws.geonames.org/281461/","32.1941","35.49333"
"http://sws.geonames.org/281462/","31.54074","35.19745"
"http://sws.geonames.org/281463/","31.95787","35.1698"
"http://sws.geonames.org/281464/","32.09455","35.50772"
"http://sws.geonames.org/281465/","32.1913","35.51802"
"http://sws.geonames.org/281466/","32.19506","35.50687"
"http://sws.geonames.org/281467/","32.12168","35.43936"
"http://sws.geonames.org/281468/","31.48333","35.16667"
"http://sws.geonames.org/281469/","32.12832","35.47047"
"http://sws.geonames.org/281470/","32.19808","35.49545"
"http://sws.geonames.org/281471/","31.90211","35.31099"
"http://sws.geonames.org/281472/","31.59833","35.25843"
"http://sws.geonames.org/281473/","31.88202","35.37145"
"http://sws.geonames.org/281474/","31.37288","34.93348"
"http://sws.geonames.org/281475/","31.82994","35.27177"
"http://sws.geonames.org/281476/","31.43809","35.22549"
"http://sws.geonames.org/281477/","32.17607","35.44741"
"http://sws.geonames.org/281478/","32.23333","35.5"
"http://sws.geonames.org/281479/","31.43229","34.90163"
"http://sws.geonames.org/281480/","31.58333","35.23333"
"http://sws.geonames.org/281481/","32.18131","35.44716"
"http://sws.geonames.org/281482/","31.68333","35.36667"
"http://sws.geonames.org/281483/","31.937","35.44208"
"http://sws.geonames.org/281484/","31.88467","35.19345"
"http://sws.geonames.org/281485/","31.99167","35.37548"
"http://sws.geonames.org/281486/","32.43234","35.34418"
"http://sws.geonames.org/281487/","31.61254","35.29704"
"http://sws.geonames.org/281488/","31.87481","35.40525"
"http://sws.geonames.org/281489/","31.63333","35.13333"
"http://sws.geonames.org/281490/","31.6683","35.23112"
"http://sws.geonames.org/281492/","31.40477","35.14815"
"http://sws.geonames.org/281493/","31.88333","35.15"
"http://sws.geonames.org/281494/","31.88688","35.2049"
"http://sws.geonames.org/281495/","31.70878","35.14502"
"http://sws.geonames.org/281496/","31.42851","34.90073"
"http://sws.geonames.org/281497/","31.87971","35.38951"
"http://sws.geonames.org/281498/","31.88333","35.4"
